Year,     Jan,      Feb,      Mar,      Apr,      May,      Jun,      Jul,      Aug,      Sep,      Oct,      Nov,      Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1999,-9.8,-6.1,-4.9,-1.1,2.9,7.3,8,9.2,3.6,-0.3,-2.1,-5.9,0.1,-8.2,-1,8.2,0.4
2000,-14.7,-9.9,-3.1,-0.7,2.4,7.4,10.1,8.6,3.9,0.4,-3.3,-11.1,-0.8,-10.2,-0.5,8.7,0.3
2001,-7.7,-14.3,-4.2,-1.5,3.2,5.7,9.4,8.7,4.2,-0.8,-3.6,-11.4,-1,-11,-0.8,7.9,-0.1
2002,-9.1,-7,-12,-2.6,2.4,7.1,8.9,7.3,4.3,-1.1,-2.1,-6.2,-0.8,-9.2,-4.1,7.8,0.4
2003,-8.4,-8.8,-7.5,-0.4,2.8,7.5,8.2,7.6,4.8,1,-8.2,-6.8,-0.7,-7.8,-1.7,7.8,-0.8
2004,-13.6,-6.8,-2.2,-0.9,3.6,8.7,9.8,9,4,0.2,-3.3,-7.7,0.1,-9.1,0.2,9.2,0.3
2005,-13.9,-7.3,-3.1,0.3,4.9,8.5,9.2,7.3,3.5,1,-3.5,-8.8,-0.2,-9.6,0.7,8.3,0.3
2006,-4.5,-10.1,-7.9,-0.4,3.7,8,10.2,6.4,5.2,-2.1,-9.9,-5.9,-0.6,-7.8,-1.5,8.2,-2.3
2007,-9.1,-7,-2.3,-1.8,2.9,6.9,10,7.2,4.2,1.6,-4.8,-12.4,-0.4,-7.3,-0.4,8,0.3
2008,-13.3,-10.5,-6.4,-2.5,5,6.6,9.1,9.5,4.5,0.7,-1.9,-14.6,-1.2,-12.1,-1.3,8.4,1.1
