Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1992-09-28,414.350006,416.619995,413,416.619995,158760000,416.619995
1992-09-29,416.619995,417.380005,415.339996,416.799988,170750000,416.799988
1992-09-30,416.790009,418.579987,416.670013,417.799988,184470000,417.799988
1992-10-01,417.799988,418.670013,415.459991,416.290009,204780000,416.290009
1992-10-02,416.290009,416.350006,410.450012,410.470001,188030000,410.470001
1992-10-05,410.470001,410.470001,396.799988,407.570007,286550000,407.570007
1992-10-06,407.570007,408.559998,404.839996,407.179993,203500000,407.179993
1992-10-07,407.170013,408.600006,403.910004,404.25,184380000,404.25
1992-10-08,404.290009,408.040009,404.290009,407.75,2.05E+08,407.75
1992-10-09,407.75,407.75,402.420013,402.660004,178940000,402.660004
1992-10-12,402.660004,407.440002,402.660004,407.440002,126670000,407.440002
1992-10-13,407.440002,410.640015,406.829987,409.299988,186650000,409.299988
1992-10-14,409.299988,411.519989,407.859985,409.369995,175900000,409.369995
1992-10-15,409.339996,411.029999,407.920013,409.600006,213590000,409.600006
1992-10-16,409.600006,411.730011,407.429993,411.730011,235920000,411.730011
1992-10-19,411.730011,414.980011,410.660004,414.980011,222150000,414.980011
1992-10-20,414.980011,417.980011,414.48999,415.480011,258210000,415.480011
1992-10-21,415.529999,416.149994,414.540009,415.670013,219100000,415.670013
1992-10-22,415.670013,416.809998,413.100006,414.899994,216400000,414.899994
1992-10-23,414.899994,416.230011,413.679993,414.100006,199060000,414.100006
1992-10-26,414.089996,418.170013,413.709991,418.160004,188060000,418.160004
1992-10-27,418.179993,419.200012,416.970001,418.48999,201730000,418.48999
1992-10-28,418.48999,420.130005,417.559998,420.130005,203910000,420.130005
1992-10-29,420.149994,421.160004,419.829987,420.859985,206550000,420.859985
1992-10-30,420.859985,421.130005,418.540009,418.679993,201930000,418.679993
1992-11-02,418.660004,422.75,418.119995,422.75,203280000,422.75
1992-11-03,422.75,422.809998,418.589996,419.920013,208140000,419.920013
1992-11-04,419.910004,421.070007,416.609985,417.109985,194400000,417.109985
